date,summary,precipIntensity,precipProbability,temperature,humidity,windSpeed,visibility
2017/1/1 0:00,Clear,0,0,18.07,0.5,4.4,10.003
2017/1/1 1:00,Partly Cloudy,0,0,17.82,0.51,5.83,10.003
2017/1/1 2:00,Partly Cloudy,0,0,17.89,0.67,5.35,10.003
2017/1/1 3:00,Partly Cloudy,0,0,17.45,0.51,6.54,10.003
2017/1/1 4:00,Partly Cloudy,0,0,17.45,0.52,6.93,10.003
2017/1/1 5:00,Partly Cloudy,0,0,17.69,0.67,6.35,10.003
2017/1/1 6:00,Partly Cloudy,0,0,17.43,0.51,7.87,10.003
2017/1/1 7:00,Partly Cloudy,0,0,17.82,0.5,6.19,10.003
2017/1/1 8:00,Partly Cloudy,0,0,17.85,0.51,6.08,12.346
2017/1/1 9:00,Partly Cloudy,0,0,17.85,0.51,6.54,12.346
2017/1/1 10:00,Partly Cloudy,0,0,18.44,0.5,5.02,10.003
2017/1/1 11:00,Partly Cloudy,0,0,18.84,0.49,5.53,10.003
2017/1/1 12:00,Partly Cloudy,0,0,18.94,0.49,3.52,10.003
2017/1/1 13:00,Partly Cloudy,0,0,20.3,0.4,2.58,10.003
2017/1/1 14:00,Possible Drizzle,0.0724,0.44,20.87,0.35,3.29,9.602
2017/1/1 15:00,Possible Drizzle,0.0379,0.44,20.92,0.26,3.81,9.602
2017/1/1 16:00,Partly Cloudy,0,0,20.38,0.23,3.07,10.003
2017/1/1 17:00,Partly Cloudy,0,0,20.13,0.17,3.63,10.003
2017/1/1 18:00,Partly Cloudy,0,0,19.9,0.17,4.46,10.003
2017/1/1 19:00,Partly Cloudy,0,0,19.68,0.79,3.48,10.003
2017/1/1 20:00,Partly Cloudy,0,0,19.67,0.8,3.61,11.577
2017/1/1 21:00,Clear,0,0,19.91,0.81,4.54,12.346
2017/1/1 22:00,Clear,0,0,19.28,0.31,4.17,10.003
2017/1/1 23:00,Clear,0,0,18.83,0.35,3.94,10.003
2017/1/2 0:00,Clear,0,0,18.6,0.39,4.79,10.003
2017/1/2 1:00,Clear,0,0,18.89,0.31,4.76,10.003
2017/1/2 2:00,Clear,0,0,18.31,0.44,5.47,10.003
2017/1/2 3:00,Clear,0,0,18.44,0.33,4.42,8.998
2017/1/2 4:00,Clear,0,0,18.68,0.28,4.29,10.003
2017/1/2 5:00,Clear,0,0,18.21,0.28,3.16,8.998
2017/1/2 6:00,Clear,0,0,17.71,0.47,3.88,8.005
2017/1/2 7:00,Clear,0,0,17.96,0.38,4.22,8.998
2017/1/2 8:00,Clear,0,0,18.05,0.66,4.2,11.575
2017/1/2 9:00,Clear,0,0,19.84,0.28,4.39,11.575
2017/1/2 10:00,Clear,0,0,21.04,0.19,3.68,10.003
2017/1/2 11:00,Clear,0,0,21.92,0.72,3.78,8.005
2017/1/2 12:00,Clear,0,0,22.59,0.73,3.96,6.004
2017/1/2 13:00,Clear,0,0,23.51,0.73,2.64,6.004
2017/1/2 14:00,Clear,0,0,23.02,0.68,2.7,9.602
2017/1/2 15:00,Clear,0,0,23.22,0.74,2.44,9.602
2017/1/2 16:00,Clear,0,0,22.36,0.73,2.77,10.003
2017/1/2 17:00,Clear,0,0,21.84,0.69,2.23,10.003
2017/1/2 18:00,Clear,0,0,20.79,0.77,2.56,10.003
2017/1/2 19:00,Clear,0,0,20.56,0.78,1.41,10.003
2017/1/2 20:00,Clear,0,0,19.21,0.85,1.19,12.346
2017/1/2 21:00,Clear,0,0,19.94,0.82,1,11.577
2017/1/2 22:00,Clear,0,0,20.19,0.81,2.17,8.998
2017/1/2 23:00,Clear,0,0,18.69,0.86,1.29,10.003
2017/1/3 0:00,Clear,0,0,19.96,0.81,1.99,6.994
2017/1/3 1:00,Clear,0,0,19.79,0.82,2.4,6.994
2017/1/3 2:00,Clear,0,0,18.1,0.89,2.27,8.451
2017/1/3 3:00,Clear,0,0,19.65,0.82,2.92,8.451
2017/1/3 4:00,Clear,0,0,19.4,0.84,3,6.994
2017/1/3 5:00,Clear,0,0,18.13,0.56,2.35,6.994
2017/1/3 6:00,Clear,0,0,19.63,0.32,3.32,6.004
2017/1/3 7:00,Clear,0,0,19.38,0.36,3.18,6.004
2017/1/3 8:00,Clear,0,0,18.65,0.59,3.49,8.518
2017/1/3 9:00,Clear,0,0,20.97,0.31,3.87,11.577
2017/1/3 10:00,Clear,0,0,21.64,0.3,4.07,10.003
2017/1/3 11:00,Clear,0,0,21.29,0.58,5.28,10.003
2017/1/3 12:00,Clear,0,0,20.83,0.43,4.85,10.003
2017/1/3 13:00,Clear,0,0,20.59,0.37,4.56,10.003
2017/1/3 14:00,Clear,0,0,21.68,0.51,4.91,10.003
2017/1/3 15:00,Clear,0,0,21.56,0.27,3.24,10.003
2017/1/3 16:00,Clear,0,0,21.56,0.17,4,10.003
2017/1/3 17:00,Clear,0,0,20.8,0.45,4.09,10.003
2017/1/3 18:00,Clear,0,0,20.77,0.24,3.02,10.003
2017/1/3 19:00,Clear,0,0,20.15,0.45,3.08,10.003
2017/1/3 20:00,Clear,0,0,19.62,0.66,3.59,12.346
2017/1/3 21:00,Clear,0,0,19.93,0.48,2.54,12.346
2017/1/3 22:00,Clear,0,0,19.18,0.51,3.93,10.003
2017/1/3 23:00,Clear,0,0,18.98,0.7,4.03,10.003
2017/1/4 0:00,Clear,0,0,19.04,0.52,3.46,10.003
2017/1/4 1:00,Clear,0,0,18.79,0.52,3.86,10.003
2017/1/4 2:00,Clear,0,0,18.6,0.71,4.11,10.003
2017/1/4 3:00,Clear,0,0,18.56,0.52,3.44,10.003
2017/1/4 4:00,Partly Cloudy,0,0,19.05,0.52,3.77,10.003
2017/1/4 5:00,Partly Cloudy,0,0,18.26,0.7,3.84,10.003
2017/1/4 6:00,Partly Cloudy,0,0,18.31,0.5,5.32,10.003
2017/1/4 7:00,Partly Cloudy,0,0,18.07,0.51,7.07,10.003
2017/1/4 8:00,Clear,0,0,18.44,0.69,5.78,11.575
2017/1/4 9:00,Clear,0,0,18.33,0.77,3.47,11.575
2017/1/4 10:00,Clear,0,0,18.37,0.78,2.48,10.003
2017/1/4 11:00,Clear,0,0,19.25,0.74,3.19,10.003
2017/1/4 12:00,Clear,0,0,20.1,0.65,3.51,10.003
2017/1/4 13:00,Clear,0,0,20.17,0.6,3.27,10.003
2017/1/4 14:00,Clear,0,0,20.95,0.61,3.44,10.003
2017/1/4 15:00,Clear,0,0,21.19,0.6,4.72,10.003
2017/1/4 16:00,Clear,0,0,21.11,0.63,3.87,10.003
2017/1/4 17:00,Clear,0,0,20.6,0.66,3.13,10.003
2017/1/4 18:00,Partly Cloudy,0,0,19.55,0.69,4.43,10.003
2017/1/4 19:00,Partly Cloudy,0,0,19.48,0.71,4,10.003
2017/1/4 20:00,Clear,0,0,18.96,0.75,3.11,12.346
2017/1/4 21:00,Clear,0,0,19.41,0.74,3.82,12.346
2017/1/4 22:00,Clear,0,0,19.37,0.74,3.24,10.003
2017/1/4 23:00,Clear,0,0,19.09,0.76,4.01,10.003
2017/1/5 0:00,Clear,0,0,19.3,0.75,3.57,8.998
2017/1/5 1:00,Partly Cloudy,0,0,19.31,0.75,3.97,10.003
2017/1/5 2:00,Partly Cloudy,0,0,19.02,0.8,3.19,9.39
2017/1/5 3:00,Partly Cloudy,0,0,18.85,0.78,2.8,8.169
2017/1/5 4:00,Partly Cloudy,0,0,18.8,0.78,2.88,10.003
2017/1/5 5:00,Partly Cloudy,0,0,18.99,0.8,2.51,8.998
2017/1/5 6:00,Partly Cloudy,0,0,19.74,0.75,1.63,10.003
2017/1/5 7:00,Partly Cloudy,0,0,20.24,0.74,1.89,10.003
2017/1/5 8:00,Clear,0,0,20.07,0.75,2.4,11.575
2017/1/5 9:00,Clear,0,0,20.97,0.69,1.42,11.575
2017/1/5 10:00,Clear,0,0,21.72,0.65,2.85,10.003
2017/1/5 11:00,Clear,0,0,22.96,0.61,1.56,10.003
2017/1/5 12:00,Clear,0,0,22.63,0.64,2.34,8.998
2017/1/5 13:00,Partly Cloudy,0,0,22.18,0.66,2.06,8.005
2017/1/5 14:00,Partly Cloudy,0,0,21.82,0.7,1.95,6.004
2017/1/5 15:00,Partly Cloudy,0,0,21.65,0.68,1.34,10.003
2017/1/5 16:00,Partly Cloudy,0,0,21.67,0.69,1.73,10.003
2017/1/5 17:00,Partly Cloudy,0,0,21.71,0.69,0.86,8.005
2017/1/5 18:00,Partly Cloudy,0,0,22,0.68,0.15,8.998
2017/1/5 19:00,Partly Cloudy,0,0,21.96,0.69,0.19,8.998
2017/1/5 20:00,Clear,0,0,21.5,0.72,0.56,10.817
2017/1/5 21:00,Clear,0,0,21.86,0.68,1.15,12.346
2017/1/5 22:00,Clear,0,0,21.42,0.65,1.94,10.003
2017/1/5 23:00,Clear,0,0,20.49,0.73,1.98,10.003
2017/1/6 0:00,Clear,0,0,19.96,0.74,2.45,10.003
2017/1/6 1:00,Clear,0,0,19.91,0.74,2.4,8.998
2017/1/6 2:00,Clear,0,0,19.46,0.79,2.72,10.003
2017/1/6 3:00,Clear,0,0,19.91,0.75,3.55,9.482
2017/1/6 4:00,Clear,0,0,19.5,0.75,3.54,8.998
2017/1/6 5:00,Clear,0,0,19.1,0.81,3.49,10.003
2017/1/6 6:00,Clear,0,0,18.95,0.79,4.48,6.004
2017/1/6 7:00,Clear,0,0,19.31,0.81,2.63,4.695
2017/1/6 8:00,Clear,0,0,19.63,0.81,2.97,9.521
2017/1/6 9:00,Clear,0,0,20.56,0.73,2.82,9.521
2017/1/6 10:00,Clear,0,0,21.21,0.67,3.49,6.004
2017/1/6 11:00,Clear,0,0,23.1,0.65,1.33,5.002
2017/1/6 12:00,Clear,0,0,24.3,0.55,1.43,3.5
2017/1/6 13:00,Clear,0,0,24.71,0.55,0.66,3.701
2017/1/6 14:00,Clear,0,0,24.63,0.57,2.05,9.285
2017/1/6 15:00,Clear,0,0,23.78,0.56,2.19,10.043
2017/1/6 16:00,Clear,0,0,22.78,0.6,1.87,8.005
2017/1/6 17:00,Clear,0,0,22.66,0.63,2.23,6.004
2017/1/6 18:00,Clear,0,0,21.12,0.67,2.27,10.003
2017/1/6 19:00,Clear,0,0,20.63,0.71,2.69,10.003
2017/1/6 20:00,Clear,0,0,20.13,0.75,2.77,12.346
2017/1/6 21:00,Clear,0,0,20.05,0.75,1.7,11.577
2017/1/6 22:00,Clear,0,0,19.95,0.8,1.7,8.005
2017/1/6 23:00,Clear,0,0,19.47,0.83,2.21,8.998
2017/1/7 0:00,Clear,0,0,19.55,0.74,2.31,8.998
2017/1/7 1:00,Clear,0,0,19.37,0.81,3.19,8.005
2017/1/7 2:00,Clear,0,0,18.99,0.83,3.71,10.679
2017/1/7 3:00,Clear,0,0,19.34,0.81,2.87,10.679
2017/1/7 4:00,Clear,0,0,18.89,0.8,2.69,8.998
2017/1/7 5:00,Clear,0,0,18.92,0.83,4.75,10.003
2017/1/7 6:00,Clear,0,0,18.84,0.79,5.96,10.003
2017/1/7 7:00,Clear,0,0,18.79,0.8,4.3,10.003
2017/1/7 8:00,Clear,0,0,18.94,0.81,4.43,14.86
2017/1/7 9:00,Clear,0,0,19.46,0.77,4.74,14.86
2017/1/7 10:00,Clear,0,0,20,0.75,4.3,10.003
2017/1/7 11:00,Clear,0,0,21.09,0.71,4.26,10.003
2017/1/7 12:00,Clear,0,0,21.7,0.68,2.88,10.003
2017/1/7 13:00,Clear,0,0,21.35,0.63,3.82,10.003
2017/1/7 14:00,Clear,0,0,22.05,0.65,2.48,7.661
2017/1/7 15:00,Clear,0,0,22.61,0.65,1.62,7.661
2017/1/7 16:00,Clear,0,0,22.16,0.68,1.25,10.003
2017/1/7 17:00,Clear,0,0,21.31,0.71,2.14,10.003
2017/1/7 18:00,Clear,0,0,20.65,0.72,2.26,10.003
2017/1/7 19:00,Clear,0,0,21.01,0.71,1.57,8.998
2017/1/7 20:00,Clear,0,0,20.83,0.73,1.08,11.577
2017/1/7 21:00,Clear,0,0,20.93,0.71,0.94,12.346
2017/1/7 22:00,Clear,0,0,20.94,0.69,1.38,8.005
2017/1/7 23:00,Clear,0,0,20.67,0.71,2.16,8.005
2017/1/8 0:00,Clear,0,0,20.63,0.68,0.88,8.998
2017/1/8 1:00,Clear,0,0,20.54,0.69,1.67,8.998
2017/1/8 2:00,Clear,0,0,20.66,0.73,1.4,7.565
2017/1/8 3:00,Clear,0,0,20.93,0.7,1.45,6.954
2017/1/8 4:00,Clear,0,0,20.94,0.71,0.37,6.004
2017/1/8 5:00,Clear,0,0,20.54,0.76,0.58,6.004
2017/1/8 6:00,Clear,0,0,20.87,0.74,0.62,5.002
2017/1/8 7:00,Clear,0,0,20.37,0.73,0.62,5.002
2017/1/8 8:00,Clear,0,0,20.92,0.76,0.83,7.124
2017/1/8 9:00,Clear,0,0,22.52,0.63,0.46,7.434
2017/1/8 10:00,Clear,0,0,23.72,0.58,0.71,5.002
2017/1/8 11:00,Clear,0,0,24.9,0.55,0.8,4.695
2017/1/8 12:00,Foggy,0,0,24.86,0.7,1.42,2.396
2017/1/8 13:00,Foggy,0,0,26.11,0.67,0.42,2.396
2017/1/8 14:00,Clear,0,0,26.11,0.58,0.62,3.39
2017/1/8 15:00,Clear,0,0,25.54,0.59,0.5,3.697
2017/1/8 16:00,Clear,0,0,24.72,0.61,1.22,4.398
2017/1/8 17:00,Clear,0,0,23.97,0.64,0.67,4.8
2017/1/8 18:00,Clear,0,0,23.55,0.67,0.2,4.695
2017/1/8 19:00,Clear,0,0,22.98,0.7,0.32,5.002
2017/1/8 20:00,Clear,0,0,22.7,0.7,0.61,9.285
2017/1/8 21:00,Clear,0,0,22.44,0.65,0.32,9.285
2017/1/8 22:00,Clear,0,0,22.46,0.62,0.86,6.004
2017/1/8 23:00,Clear,0,0,21.57,0.65,0.7,6.004
2017/1/9 0:00,Clear,0,0,21.46,0.62,1.14,6.994
2017/1/9 1:00,Clear,0,0,20.88,0.67,1.93,8.998
2017/1/9 2:00,Clear,0,0,20.26,0.75,2.39,10.003
2017/1/9 3:00,Clear,0,0,19.9,0.73,2.95,10.003
2017/1/9 4:00,Clear,0,0,19.45,0.72,1.18,8.998
2017/1/9 5:00,Clear,0,0,19.17,0.78,1.21,8.998
2017/1/9 6:00,Partly Cloudy,0,0,19.31,0.73,2,10.003
2017/1/9 7:00,Partly Cloudy,0,0,18.82,0.74,1.58,10.003
2017/1/9 8:00,Partly Cloudy,0,0,18.67,0.74,2.21,12.346
2017/1/9 9:00,Partly Cloudy,0,0,18.72,0.75,2.03,12.346
2017/1/9 10:00,Partly Cloudy,0,0,19.41,0.73,2.41,10.003
2017/1/9 11:00,Partly Cloudy,0,0,19.55,0.72,2.66,10.003
2017/1/9 12:00,Partly Cloudy,0,0,20,0.69,2.54,8.998
2017/1/9 13:00,Partly Cloudy,0,0,20.44,0.7,1.89,8.998
2017/1/9 14:00,Partly Cloudy,0,0,20.59,0.7,1.62,7.049
2017/1/9 15:00,Partly Cloudy,0,0,20.58,0.69,2.03,6.443
2017/1/9 16:00,Partly Cloudy,0,0,20.08,0.69,1.55,6.994
2017/1/9 17:00,Partly Cloudy,0,0,19.67,0.7,3.12,6.994
2017/1/9 18:00,Partly Cloudy,0,0,18.93,0.76,2.51,8.005
2017/1/9 19:00,Partly Cloudy,0,0,18.81,0.76,1.79,8.005
2017/1/9 20:00,Clear,0,0,19.22,0.78,2.23,10.817
2017/1/9 21:00,Clear,0,0,18.73,0.78,2.47,10.817
2017/1/9 22:00,Partly Cloudy,0,0,18.79,0.78,2.87,8.998
2017/1/9 23:00,Partly Cloudy,0,0,18.74,0.8,2.99,8.998
2017/1/10 0:00,Partly Cloudy,0,0,18.7,0.78,2.7,8.998
2017/1/10 1:00,Partly Cloudy,0,0,18.7,0.78,2.5,8.998
2017/1/10 2:00,Partly Cloudy,0,0,18.67,0.78,3.61,9.222
2017/1/10 3:00,Partly Cloudy,0,0,18.2,0.78,3.51,9.222
2017/1/10 4:00,Partly Cloudy,0,0,18.18,0.78,3.68,8.998
2017/1/10 5:00,Partly Cloudy,0,0,18.16,0.78,5.38,8.998
2017/1/10 6:00,Partly Cloudy,0,0,17.68,0.77,4.58,8.998
2017/1/10 7:00,Partly Cloudy,0.0174,0.08,17.68,0.78,6.01,8.998
2017/1/10 8:00,Partly Cloudy,0,0,17.81,0.78,4.65,11.059
2017/1/10 9:00,Partly Cloudy,0,0,17.71,0.77,7.03,10.549
2017/1/10 10:00,Clear,0,0,18.25,0.77,4.18,8.998
2017/1/10 11:00,Clear,0,0,18.62,0.75,4.76,10.003
2017/1/10 12:00,Clear,0,0,18.81,0.75,3.91,10.003
2017/1/10 13:00,Clear,0,0,18.81,0.74,2.68,10.003
2017/1/10 14:00,Clear,0,0,19.16,0.73,3,9.602
2017/1/10 15:00,Partly Cloudy,0,0,18.44,0.71,3.95,9.602
2017/1/10 16:00,Clear,0,0,18.89,0.71,2.25,10.003
2017/1/10 17:00,Clear,0,0,18.54,0.74,2.16,10.003
2017/1/10 18:00,Clear,0,0,18.25,0.75,2.13,10.003
2017/1/10 19:00,Clear,0,0,18.21,0.76,1.9,8.998
2017/1/10 20:00,Clear,0,0,18.18,0.79,3.16,11.577
2017/1/10 21:00,Clear,0,0,18.19,0.76,2.54,10.817
2017/1/10 22:00,Clear,0,0,18.18,0.76,2.78,8.005
2017/1/10 23:00,Clear,0,0,18.18,0.8,3.21,8.998
2017/1/11 0:00,Clear,0,0,18.18,0.76,4.3,8.998
2017/1/11 1:00,Clear,0,0,17.68,0.77,3.72,8.998
2017/1/11 2:00,Clear,0,0,17.8,0.77,4.9,8.998
2017/1/11 3:00,Partly Cloudy,0,0,17.63,0.76,4.45,8.005
2017/1/11 4:00,Partly Cloudy,0,0,17.63,0.77,3.49,8.005
2017/1/11 5:00,Partly Cloudy,0,0,17.69,0.77,4.09,8.005
2017/1/11 6:00,Partly Cloudy,0,0,17.52,0.76,2.82,8.005
2017/1/11 7:00,Partly Cloudy,0,0,17.52,0.77,1.74,8.005
2017/1/11 8:00,Clear,0,0,17.34,0.72,2.75,6.443
2017/1/11 9:00,Clear,0,0,17.84,0.74,3.43,6.443
2017/1/11 10:00,Clear,0,0,18.34,0.72,2.7,6.994
2017/1/11 11:00,Partly Cloudy,0,0,18.41,0.67,4.13,6.994
2017/1/11 12:00,Partly Cloudy,0,0,17.92,0.72,3.33,6.994
2017/1/11 13:00,Partly Cloudy,0,0,17.89,0.66,2.95,6.004
2017/1/11 14:00,Partly Cloudy,0,0,18.45,0.69,2.43,4.442
2017/1/11 15:00,Partly Cloudy,0,0,18.34,0.64,1.22,4.442
2017/1/11 16:00,Partly Cloudy,0,0,17.8,0.71,2.56,6.004
2017/1/11 17:00,Partly Cloudy,0,0,18.33,0.75,3.2,6.004
2017/1/11 18:00,Partly Cloudy,0,0,18.23,0.76,2.65,6.004
2017/1/11 19:00,Partly Cloudy,0,0,18.27,0.78,2.73,6.994
2017/1/11 20:00,Partly Cloudy,0,0,18.25,0.8,2.7,9.285
2017/1/11 21:00,Partly Cloudy,0,0,18.19,0.79,3.63,9.285
2017/1/11 22:00,Partly Cloudy,0,0,18.16,0.8,3,6.004
2017/1/11 23:00,Partly Cloudy,0,0,18.26,0.81,3.42,6.004
2017/1/12 0:00,Partly Cloudy,0,0,18.18,0.8,3.5,6.004
2017/1/12 1:00,Partly Cloudy,0,0,18.22,0.81,3.77,6.004
2017/1/12 2:00,Partly Cloudy,0,0,17.83,0.82,4.28,8.169
2017/1/12 3:00,Partly Cloudy,0,0,17.71,0.8,4.05,8.169
2017/1/12 4:00,Partly Cloudy,0,0,17.73,0.8,3.57,6.004
2017/1/12 5:00,Partly Cloudy,0,0,17.79,0.81,3.46,6.004
2017/1/12 6:00,Partly Cloudy,0,0,17.73,0.8,3.58,6.004
2017/1/12 7:00,Partly Cloudy,0,0,17.73,0.79,3.89,5.002
2017/1/12 8:00,Partly Cloudy,0.0142,0.08,18.15,0.79,2.69,6.775
2017/1/12 9:00,Partly Cloudy,0.0071,0.08,17.77,0.78,4.13,6.723
2017/1/12 10:00,Partly Cloudy,0,0,18.23,0.77,2.58,5.002
2017/1/12 11:00,Partly Cloudy,0,0,18.29,0.76,2.09,4.198
2017/1/12 12:00,Partly Cloudy,0,0,18.68,0.75,1.4,4.297
2017/1/12 13:00,Partly Cloudy,0,0,18.68,0.73,1.88,4.297
2017/1/12 14:00,Partly Cloudy,0,0,19.13,0.73,1.7,4.332
2017/1/12 15:00,Partly Cloudy,0,0,19.58,0.72,0.86,4.332
2017/1/12 16:00,Partly Cloudy,0,0,19.6,0.73,0.77,4.602
2017/1/12 17:00,Partly Cloudy,0,0,18.82,0.74,1.42,4.895
2017/1/12 18:00,Partly Cloudy,0,0,18.13,0.75,0.89,5.002
2017/1/12 19:00,Partly Cloudy,0,0,17.52,0.77,1.34,6.004
2017/1/12 20:00,Partly Cloudy,0.0071,0.08,16.9,0.79,1.43,10.043
2017/1/12 21:00,Partly Cloudy,0.0127,0.08,16.98,0.77,0.93,9.285
2017/1/12 22:00,Partly Cloudy,0.0142,0.08,16.87,0.77,0.86,6.994
2017/1/12 23:00,Partly Cloudy,0.0142,0.08,16.08,0.8,1.54,8.005
2017/1/13 0:00,Partly Cloudy,0.0149,0.08,15.97,0.78,1.29,10.003
2017/1/13 1:00,Partly Cloudy,0,0,15.94,0.78,1.01,10.003
2017/1/13 2:00,Partly Cloudy,0,0,15.24,0.8,1.46,10.003
2017/1/13 3:00,Partly Cloudy,0,0,15.49,0.78,0.92,10.003
2017/1/13 4:00,Partly Cloudy,0,0,15.45,0.77,1.65,10.003
2017/1/13 5:00,Partly Cloudy,0,0,14.8,0.77,2.36,10.003
2017/1/13 6:00,Partly Cloudy,0,0,14.53,0.75,2.13,10.003
2017/1/13 7:00,Partly Cloudy,0,0,14.52,0.75,1.1,10.003
2017/1/13 8:00,Partly Cloudy,0.0071,0.08,14.63,0.76,1.76,12.346
2017/1/13 9:00,Partly Cloudy,0.0136,0.08,14.84,0.76,0.9,12.346
2017/1/13 10:00,Partly Cloudy,0.0317,0.08,14.8,0.77,0.6,10.003
2017/1/13 11:00,Partly Cloudy,0.0107,0.08,16.14,0.76,1.82,10.003
2017/1/13 12:00,Partly Cloudy,0,0,16.23,0.72,1.73,8.005
2017/1/13 13:00,Partly Cloudy,0.0214,0.08,15.9,0.78,0.6,8.998
2017/1/13 14:00,Partly Cloudy,0,0,15.27,0.81,1.23,12.346
2017/1/13 15:00,Partly Cloudy,0,0,15.93,0.79,0.65,12.346
2017/1/13 16:00,Partly Cloudy,0,0,15.36,0.81,0.66,6.004
2017/1/13 17:00,Light Rain,0.7005,0.81,15.08,0.83,1.38,10.003
2017/1/13 18:00,Partly Cloudy,0.0107,0.08,14.93,0.82,0.9,10.003
2017/1/13 19:00,Partly Cloudy,0.0214,0.08,14.89,0.83,0.73,10.003
2017/1/13 20:00,Partly Cloudy,0.0107,0.08,14.68,0.89,1.42,4.438
2017/1/13 21:00,Partly Cloudy,0,0,14.83,0.89,1.12,4.438
2017/1/13 22:00,Partly Cloudy,0,0,14.72,0.81,0.77,8.998
2017/1/13 23:00,Partly Cloudy,0.0214,0.08,14.59,0.84,1.59,10.003
2017/1/14 0:00,Partly Cloudy,0,0,15.85,0.77,1.31,10.003
2017/1/14 1:00,Partly Cloudy,0,0,15.87,0.77,2.45,10.003
2017/1/14 2:00,Partly Cloudy,0.0071,0.08,16.26,0.87,2.38,10.003
2017/1/14 3:00,Partly Cloudy,0.0284,0.08,16.62,0.86,2,10.003
2017/1/14 4:00,Partly Cloudy,0.0284,0.08,16.65,0.86,3.22,9.881
2017/1/14 5:00,Partly Cloudy,0.0526,0.16,16.17,0.87,3.2,9.801
2017/1/14 6:00,Light Rain,0.8217,0.97,14.42,0.88,1.77,4.246
2017/1/14 7:00,Partly Cloudy,0.0934,0.16,14.45,0.89,2.1,4.246
