date,high_temp,low_temp,avg_temp,ifRain,wind_speed
2017/1/1,23,18,20.5,0,3.5
2017/1/2,24,18,21,0,1.5
2017/1/3,25,18,21.5,0,4.5
2017/1/4,24,19,21.5,0,0
2017/1/5,23,20,21.5,0,0
2017/1/6,24,19,21.5,1,0
2017/1/7,24,18,21,0,0
2017/1/8,25,19,22,0,0
2017/1/9,21,17,19,1,0
2017/1/10,19,17,18,0,4.5
2017/1/11,21,17,19,0,3.5
2017/1/12,20,15,17.5,1,0
2017/1/13,18,15,16.5,1,0
2017/1/14,16,13,14.5,1,3.5
2017/1/15,17,14,15.5,1,3.5
2017/1/16,17,14,15.5,1,4.5
2017/1/17,18,15,16.5,1,3.5
2017/1/18,21,18,19.5,0,0
2017/1/19,22,15,18.5,1,0
2017/1/20,20,13,16.5,0,3.5
2017/1/21,20,12,16,0,0
2017/1/22,18,13,15.5,0,0
2017/1/23,19,14,16.5,0,3.5
2017/1/24,20,14,17,1,4.5
2017/1/25,22,15,18.5,0,0
2017/1/26,21,17,19,0,0
2017/1/27,21,16,18.5,0,0
2017/1/28,21,17,19,1,3.5
2017/1/29,22,17,19.5,1,4.5
2017/1/30,21,14,17.5,1,0
2017/1/31,20,16,18,0,0
2017/2/1,21,16,18.5,0,0
2017/2/2,21,16,18.5,0,3.5
2017/2/3,21,16,18.5,0,5.5
2017/2/4,21,18,19.5,1,0
2017/2/5,22,17,19.5,0,0
2017/2/6,21,17,19,0,4.5
2017/2/7,20,17,18.5,1,5.5
2017/2/8,20,13,16.5,0,0
2017/2/9,16,10,13,0,5.5
2017/2/10,16,12,14,0,0
2017/2/11,16,11,13.5,0,0
2017/2/12,19,14,16.5,0,0
2017/2/13,19,15,17,0,3.5
2017/2/14,21,15,18,0,4.5
2017/2/15,22,16,19,0,3.5
2017/2/16,22,17,19.5,0,0
2017/2/17,23,17,20,0,0
2017/2/18,24,16,20,0,0
2017/2/19,23,17,20,1,4.5
2017/2/20,23,18,20.5,0,0
2017/2/21,23,18,20.5,1,5.5
2017/2/22,23,17,20,1,0
2017/2/23,18,13,15.5,0,3.5
2017/2/24,16,13,14.5,1,3.5
2017/2/25,14,12,13,0,3.5
2017/2/26,17,13,15,0,0
2017/2/27,20,16,18,0,4.5
2017/2/28,20,16,18,0,3.5
2017/3/1,21,15,18,0,0
2017/3/2,21,15,18,0,0
2017/3/3,22,17,19.5,0,3.5
2017/3/4,22,18,20,0,3.5
2017/3/5,23,17,20,1,0
2017/3/6,22,17,19.5,0,0
2017/3/7,20,16,18,0,4.5
2017/3/8,19,16,17.5,1,0
2017/3/9,21,18,19.5,1,4.5
2017/3/10,22,19,20.5,1,0
2017/3/11,21,19,20,1,3.5
2017/3/12,22,18,20,0,0
2017/3/13,23,18,20.5,1,0
2017/3/14,20,16,18,0,3.5
2017/3/15,21,18,19.5,0,3.5
2017/3/16,19,16,17.5,1,4.5
2017/3/17,21,19,20,1,4.5
2017/3/18,21,17,19,1,4.5
2017/3/19,22,19,20.5,1,4.5
2017/3/20,25,20,22.5,0,0
2017/3/21,26,19,22.5,1,3.5
2017/3/22,24,21,22.5,1,4.5
2017/3/23,24,20,22,1,0
2017/3/24,24,20,22,1,3.5
2017/3/25,21,15,18,0,3.5
2017/3/26,17,13,15,1,3.5
